	ref_spot	ref_matu	strike_min	strike_max	bid_price	bid_time	ask_price	ask_time	premium	delta	vega_bs	vega_smile	vega_curve	vega_volatility_floor
European Put	23350	43812	21250	21250	1	43809	999	43809	182.5706238		28.45296977			
European Put	23350	43812	22000	22000	857	43809	866	43809	850.4325775		74.22719749			
European Put	23350	43812	21000	21000	241	43809	246	43809	237.0558696		34.40714939			
European Put	23350	43812	15000	15000	30	43809	31	43809	32.12983883		7.322911793			
European Put	23350	43812	20500	20500	302	43809	310	43809	295.6161662		42.05080163			
European Put	23350	43812	17000	17000	1560	43809	1575	43809	1558.145893		145.6975956			
European Put	23350	43812	12500	12500	1	43809	999	43809	152.4613727		28.24288781			
European Put	23400	43812	12500	12500	1	43809		43809	152.4613727		28.24288781			
European Put	23350	43812	12500	12500	162	43809	170	43809	152.4613727		28.24288782			
European Put	23400	43812	20500	20500	296	43809	298	43809	295.6161662		42.05080163			
European Put	23400	43812	21500	21500	211	43809	213	43809	212.5239451		31.17041547			
European Put	23350	43812	12500	12500	162	43809	165	43809	152.4613727		28.24288782			
European Put	23350	43812	21500	21500	221	43809	225	43809	212.5239451		31.17041547			
