	ref_spot	ref_matu	strike_min	strike_max	bid_price	bid_time	ask_price	ask_time	premium	delta	vega_bs	vega_smile	vega_curve	vega_volatility_floor
European Put	23350	43812	21250	21250	1	43809	999	43809	182.5706238		28.45296977			
European Put	23350	43812	22000	22000	857	43809	866	43809	850.4325775		74.22719749			
European Put	23350	43812	21000	21000	241	43809	246	43809	237.0558696		34.40714939			
European Put	23350	43812	15000	15000	30	43809	31	43809	32.12983883		7.322911793			
European Put	23350	43812	20500	20500	302	43809	310	43809	295.6161662		42.05080163			
European Put	23350	43812	17000	17000	1560	43809	1575	43809	1558.145893		145.6975956			
European Put	23350	43812	12500	12500	1	43809	999	43809	152.4613727		28.24288781			
European Put	23400	43812	12500	12500	1	43809		43809	152.4613727		28.24288781			
European Put	23350	43812	12500	12500	162	43809	170	43809	152.4613727		28.24288782			
European Put	23400	43812	20500	20500	296	43809	298	43809	295.6161662		42.05080163			
European Put	23400	43812	21500	21500	211	43809	213	43809	212.5239451		31.17041547			
European Put	23350	43812	12500	12500	162	43809	165	43809	152.4613727		28.24288782			
European Put	23350	43812	21500	21500	221	43809	225	43809	212.5239451		31.17041547			
European Put	23400	43812	19500	19500	65	43809	68	43809	67.77623233					
European Put	23400	43812	19500	19500	759	43809	774	43809	766.0656394					
European Put	23400	43812	20000	20000	389	43809	391	43809	395.4353659					
European Put	23400	43812	17000	17000	210	43809	210	43809	208.9515089					
European Put	23400	43812	20000	20000	390	43809	392	43809	395.4353659					
European Put	23400	43812	21000	21000	369	43809	373	43809	370.9398761					
European Put	23400	43812	20000	20000	87	43809	90	43809	89.07468709					
European Put	23400	43812	14000	14000	244	43809	251	43809	230.3391245					
European Put	23350	43812	12500	12500	163	43809	167	43809	152.4613727					
European Put	23400	43812	20000	12500	1750	43809	1758	43809	1759.121847					
European Put	23400	43812	19500	12500	475	43809	482	43809	480.9529085					
European Put	23400	43812	20000	12500	1195	43809	1195	43809	1194.722544					
European Put	23400	43812	20000	12500	391	43809	394	43809	395.4353659					
European Put	23400	43812	11000	11000	270	43809	292	43809	244.9405468					
European Put	23400	43812	20000	20000	389	43809	394	43809	395.4353659					
European Put	23400	43812	20000	20000	575	43809	575	43809	570.4425863					
European Put	23400	43812	20500	20500	1	43809	9999	43809	182.4284029					
European Put	23450	43812	20500	20500	1	43809	9999	43809	182.4284029					
European Put	23450	43812	20500	20500	171	43809	176	43809	182.4284029					
European Put	23450	43812	23000	23000	412	43809	415	43809	430.7618041					
European Put	23450	43812	23000	23000	1198	43809	1205	43809	1234.579382					
European Put	23400	43812	20500	20500	292	43809	297	43809	295.6161662					
European Put	23450	43812	23000	23000	238	43809	240	43809	253.5828311					
European Put	23450	43812	23000	23000	236	43809	240	43809	253.5828311					
European Put	23400	43812	20000	20000	1750	43809	1770	43809	1759.121847					
European Put	23400	43812	20500	20500	174	43809	178	43809	182.4284029					
European Put	23400	43812	21000	21000	365	43809	373	43809	370.9398761					
European Put	23400	43812	21250	21250	182	43809	184	43809	182.5706238					
European Put	23400	43812	14000	14000	244	43809	251	43809	230.3391245					
European Put	23400	43812	23000	23000	254	43809	257	43809	253.5828311					
European Put	23400	43812	21250	21250	180	43809	184	43809	182.5706238					
European Put	23400	43812	21500	21500	938	43809	945	43809	949.4280355					
European Put	23400	43812	21000	21000	91	43809	93	43809	98.4913092					
European Put	23400	43812	22250	22250	658	43809	663	43809	662.6212427					
European Put	23400	43812	21500	21500	209	43809	213	43809	212.5239451					
European Put	23400	43812	22250	22250	658	43809	665	43809	662.6212427					
European Put	23400	43812	22750	22750	832	43809	835	43809	835.0310817					
European Put	23400	43812	22250	22250	658	43809	660	43809	662.6212427					
European Put	23400	43812	22250	22250	658	43809	662	43809	662.6212427					
European Put	23400	43812	22250	22250	660	43809	665	43809	662.6212427					
European Put	23450	43812	23250	23250	174	43809	180	43809	338.3511289					
European Put	23450	43812	22750	22750	174	43809	180	43809	190.3023165					
European Put	23450	43812	22000	22000	184	43809	192	43809	199.7435072					
European Put	23450	43812	21000	21000	568	43809	573	43809	579.7760657					
European Put	23450	43812	21000	21000	561	43809	568	43809	579.7760657					
European Put	23450	43812	22250	22250	643	43809	647	43809	662.6212427					
European Put	23450	43812	20500	20500	284	43809	290	43809	295.6161662					
European Put	23450	43812	21000	21000	88	43809	94	43809	98.4913092					
European Put	23450	43812	22000	22000	1087	43809	1101	43809	1121.041868					
European Call	23400	43812	24500	24500	422	43809	429	43809	425.9405879					
European Call	23400	43812	24000	24000	9	43809	10	43809	4.246570174					
European Call	23450	43812	24500	24500	147	43809	149	43809	140.8001748					
European Call	23400	43812	24500	24500	39	43809	40	43809	42.05038929					
European Call	23400	43812	24000	24000	373	43809	374	43809	381.8305761					
European Call	23400	43812	24000	24000	976	43809	986	43809	995.2590154					
European Call	23400	43812	24500	24500	147	43809	148	43809	140.8001748					
European Call	23400	43812	23000	23000	1678	43809	1680	43809	1694.891224					
European Call	23400	43812	24000	24000	132	43809	138	43809	126.6558338					
European Call	23400	43812	23500	23500	109	43809	111	43809	95.09319231					
European Call	23400	43812	24500	24500	45	43809	49	43809	42.05038928					
European Straddle	23350	43812	23500	23500	1357	43809	1368	43809	1371.832506					
European Straddle	23350	43812	23250	23250	2505	43809	2525	43809	2543.654345					
European Straddle	23400	43812	23500	23500	5500	43809	5500	43809	5532.620536					
European Straddle	23400	43812	23000	23000	4360	43809	4390	43809	4375.643997					
European Straddle	23400	43812	23250	23250	1375	43809	1390	43809	1397.462656					
European Straddle	23450	43812	23500	23500	1355	43809	1380	43809	1371.832506					
European Straddle	23450	43812	23500	23500	1990	43809	1998	43809	1994.201227					
European Straddle	23450	43812	23500	23500	2990	43809	3005	43809	3012.267625					
